,Li7,B11,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Sc45,Ti47,V51,Mn55,Fe57,As75,Rb85,Sr88,Y89,Zr90,Nb93,Cs133,Ba138,La139,Ce140,Pr141,Nd146,Sm147,Eu151,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
011GOR128,5555,5640,3425924,69354184,28072524,5382597,15461,179612,48313,25828,91178,160489,1567431,1878086,154,325,29813,12259,5464,127,311,919,138,530,148,175,104,218,302,338,683,593,667,290,382,249,138,26,199,0,12
012GOR128,5445,5729,3526632,85126800,27183064,5552471,15030,157797,43049,24303,85123,154375,1458692,1697662,230,411,29208,10996,5111,111,322,1026,124,516,115,165,106,171,224,328,623,559,573,245,389,247,128,23,176,3,6
013BCR2G,4506,1203,18096118,10486690,42960476,6473665,244725,11102991,59469,31615,796650,379557,1703119,2090529,635,48121,373254,42177,115922,14442,1908,698259,34184,73188,10947,8160,1539,1610,1649,1645,2606,2136,1942,846,1204,737,2173,1251,7309,6179,1966
014BCR2G,4199,1557,17470198,9857000,40551308,6337411,253026,10800623,56879,30732,763916,365381,1602193,2009701,671,45791,354435,39864,110066,14344,1695,655453,32620,69135,10480,7845,1513,1569,1571,1615,2393,1930,1835,816,1147,763,2037,1268,7359,6022,2020
015MC22-1-16,2850,470,15538310,110819040,38347696,7296402,463775,7220732,97261,32824,1070762,274459,2706063,3334601,883,29011,926367,22751,173420,106179,526,391678,83368,171093,23419,15523,2207,2290,1564,1348,1727,1311,1213,389,439,402,2809,7420,7768,7016,2175
016MC22-1-20,3298,829,23676174,21920170,64159276,6955573,508711,9682798,171027,51047,2240109,535926,1959093,2350954,708,34701,1257717,53695,294651,115914,613,485609,91969,191959,28852,22731,3950,3942,2743,2634,3944,2776,2359,804,1054,843,5030,8526,6384,7078,2373
017MC22-1-21,2516,366,11671350,51262952,33528708,4896957,217482,4275834,104553,29232,1334702,258341,2004602,2499589,466,11533,4052845,27491,165268,65645,211,362914,50544,106548,17104,13673,2356,1962,1414,1300,2280,1552,1220,461,620,550,2462,4217,5914,4489,1365
018MC22-1-26,4295,612,24443812,15036296,47391896,5586587,470086,8740685,110178,27134,1097240,265339,1732498,1946017,888,39354,1293818,40326,246514,113735,748,493240,105705,211658,29236,19263,2942,2968,2441,2168,2912,1989,1711,725,902,526,3788,9242,3573,8871,2531
019MC22-1-26B,4189,723,24007104,15784143,46709824,5543595,472697,8770840,111394,28093,1088077,263406,1728939,1918596,935,37699,1293344,40966,250526,113291,717,486256,104948,209711,29654,19314,2988,2883,2462,2250,2865,2006,1610,675,925,575,3788,9272,12532,9167,2355
020MC22-1-27,5515,1011,32762992,17839898,68534952,7740637,717046,16270683,143960,26656,1533964,327835,2395675,2593592,1542,67300,2239585,60443,383404,168182,1280,766751,146558,334854,51870,30848,4049,3971,3066,3350,4011,2792,2200,878,1368,691,4644,12188,24608,12794,3336
