No.,Na2O,SO3,FeO,SiO2,Cl,F,K2O,MnO,Al2O3,P2O5,MgO,CaO,TiO2,Total,Comment,material,is_std,sample,spot
95,3.56,0.061,13.55,45.3,0.1409,0.0354,1.75,0.2915,15.37,0.7245,5.02,11.64,3.3,100.7432,UnknA-Flow1-1_7,UnknA-Flow1-1,False,UnknA-Flow1-1,7.0
96,3.74,0.0552,13.21,44.45,0.183,0.0,1.83,0.1635,14.58,0.6888,5.19,11.23,3.36,98.6805,UnknA-Flow1-1_8,UnknA-Flow1-1,False,UnknA-Flow1-1,8.0
97,3.41,0.058,13.54,44.84,0.1367,0.0438,1.76,0.1875,14.96,0.6826,5.17,11.74,3.34,99.8686,UnknA-Flow1-1_9,UnknA-Flow1-1,False,UnknA-Flow1-1,9.0
98,2.72,0.0418,13.24,50.44,0.0212,0.0798,0.8161,0.2041,12.04,0.3658,5.19,9.32,4.04,98.5189,VGA99_,VGA99,True,,
99,2.92,0.0177,13.2,50.47,0.0323,0.08,0.8111,0.1967,11.94,0.447,5.19,9.41,4.15,98.8649,VGA99_,VGA99,True,,
100,2.87,0.3582,11.93,50.39,0.0218,0.0102,0.1917,0.1893,13.55,0.2236,7.17,11.23,1.87,100.0048,VG-2_,VG2,True,,
101,2.77,0.3441,11.95,51.17,0.0311,0.097,0.2061,0.1534,13.98,0.1933,7.03,11.24,1.88,101.0449,VG-2_,VG2,True,,
102,6.44,0.0463,7.92,70.6,0.3928,0.3668,4.27,0.1896,8.75,0.0,0.021,0.4249,0.2939,99.7153,KE3_,KE3,True,,
103,6.25,0.0425,7.63,70.37,0.3754,0.431,4.29,0.3291,8.7,0.0004,0.0168,0.4517,0.3393,99.2262,KE3_,KE3,True,,
104,5.2,1.3888,0.0908,50.72,1.45,0.0,0.8669,0.0227,25.53,0.0457,0.0,14.05,0.0024,99.3674,Scap,Scapolite,True,,
105,5.11,1.2951,0.1009,50.75,1.43,0.0152,0.8404,0.0535,25.77,0.0163,0.0091,14.05,0.0158,99.4564,Scap,Scapolite,True,,
