,Li7,B11,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Sc45,Ti47,V51,Mn55,Fe57,As75,Rb85,Sr88,Y89,Zr90,Nb93,Cs133,Ba138,La139,Ce140,Pr141,Nd146,Sm147,Eu151,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
071MC82-12,0.0672,0.461,1.9,0.228,1.39,305.14,4.77,35.54,283.66,0.228,0.927,0.076,0.692,29.49,0.0937,0.0605,0.0124,0.0,0.0,0.0316,0.0153,0.0293,0.0,0.00976,0.0107,0.0,0.0383,0.0212,0.0494,0.0,0.0,0.0123,0.0128,0.00982,0.0288,0.00458,0.0267,0.0086,0.0351,0.00929,0.0132
072MC82-12B,0.081,0.494,1.82,0.245,1.33,289.47,4.55,33.71,259.86,0.209,0.896,0.0707,0.665,27.61,0.103,0.0432,0.0,0.0221,0.0415,0.0264,0.0153,0.0334,0.0137,0.0133,0.0078,0.0453,0.0262,0.0134,0.0389,0.00401,0.0,0.00419,0.0175,0.00848,0.0278,0.00443,0.0364,0.00831,0.0339,0.00634,0.00736
073MC82-19,0.0611,0.598,2.44,0.354,1.74,395.23,6.11,46.06,393.47,0.28,0.895,0.0898,0.908,39.09,0.133,0.0897,0.0,0.0348,0.0293,0.0215,0.0171,0.0253,0.0,0.0133,0.0156,0.0,0.0523,0.0219,0.0778,0.00802,0.033,0.0118,0.0175,0.0,0.0393,0.00884,0.0364,0.0083,0.0391,0.0127,0.0
074MC82-21,0.0343,0.258,0.982,0.144,0.691,154.42,2.42,18.07,145.19,0.12,0.41,0.0427,0.351,15.15,0.0528,0.0279,0.00631,0.00823,0.0,0.0114,0.00781,0.0116,0.00513,0.00705,0.00505,0.0,0.0239,0.00578,0.0252,0.00212,0.0195,0.00443,0.0146,0.00501,0.0,0.00405,0.0136,0.00219,0.0187,0.00335,0.00388
075MC82-28,0.0511,0.327,1.35,0.144,0.991,215.23,3.33,25.24,192.97,0.156,0.67,0.0464,0.487,20.68,0.0804,0.0395,0.00894,0.0117,0.0155,0.0213,0.0124,0.0164,0.00727,0.0,0.00715,0.0,0.0196,0.0142,0.0,0.00425,0.0123,0.00544,0.0185,0.00636,0.0,0.00663,0.0157,0.0044,0.0254,0.00671,0.00389
076MC82-32,0.0244,0.247,0.995,0.163,0.691,154.52,2.48,18.09,151.26,0.109,0.437,0.0383,0.359,14.68,0.048,0.0351,0.00673,0.0062,0.0117,0.0182,0.00607,0.0159,0.00548,0.0,0.00381,0.0,0.0148,0.00617,0.0155,0.00226,0.0,0.00473,0.00698,0.00239,0.0222,0.00499,0.0118,0.00234,0.0175,0.00357,0.00585
077MC82-40,0.037,0.435,1.53,0.234,1.09,242.26,4.0,28.38,233.64,0.176,0.767,0.0617,0.549,23.08,0.0859,0.0439,0.0102,0.0163,0.0251,0.0206,0.0122,0.0153,0.0144,0.00809,0.01,0.0388,0.0317,0.0115,0.0,0.00343,0.0141,0.00359,0.0184,0.0063,0.0238,0.0,0.018,0.00503,0.0252,0.00767,0.00444
078MC82-5,0.0585,0.373,1.3,0.194,0.938,205.7,3.26,24.05,189.44,0.15,0.562,0.0512,0.467,19.81,0.0719,0.0422,0.0122,0.0113,0.0,0.0234,0.00913,0.0205,0.0,0.00684,0.00283,0.0328,0.0328,0.0056,0.0346,0.00411,0.0119,0.00304,0.0179,0.00308,0.0202,0.00555,0.0186,0.00737,0.0225,0.00648,0.00531
079MC99U-7,0.085,0.548,1.96,0.275,1.39,313.95,5.07,36.73,300.14,0.243,0.847,0.071,0.722,29.55,0.0963,0.0623,0.0185,0.0208,0.032,0.0166,0.0166,0.0239,0.0,0.0103,0.0,0.0495,0.0495,0.012,0.0302,0.00438,0.018,0.00648,0.0191,0.00657,0.0373,0.00684,0.0,0.00908,0.0339,0.00978,0.00981
080MC99U-10,0.0494,0.636,2.02,0.358,1.49,329.0,5.39,38.46,291.73,0.244,0.725,0.0727,0.741,31.07,0.115,0.074,0.0193,0.0178,0.0,0.0275,0.0163,0.0323,0.0112,0.0,0.0118,0.0733,0.0519,0.00886,0.0548,0.00918,0.0267,0.0118,0.0,0.00689,0.0,0.00717,0.034,0.00824,0.0225,0.0145,0.0103
081KL2,0.0864,0.717,2.63,0.474,1.89,424.99,6.61,49.75,388.87,0.318,1.66,0.101,0.989,38.67,0.15,0.0729,0.0,0.0333,0.0444,0.0282,0.023,0.0331,0.0,0.0143,0.0167,0.0,0.0561,0.0203,0.0,0.00607,0.0,0.00898,0.0324,0.0,0.0299,0.0067,0.0,0.0089,0.0394,0.00958,0.00785
082KL2,0.0677,0.567,2.26,0.358,1.65,364.2,5.52,42.77,350.05,0.286,0.575,0.0733,0.832,34.42,0.125,0.0676,0.0153,0.0345,0.0531,0.0195,0.0175,0.0397,0.0177,0.0172,0.0112,0.058,0.0336,0.0172,0.0501,0.00727,0.0299,0.0108,0.0224,0.00772,0.0,0.00803,0.019,0.0,0.0419,0.0,0.00939
083KL2,0.0519,0.534,2.04,0.267,1.46,329.13,4.93,38.77,298.34,0.277,0.763,0.0867,0.775,31.0,0.113,0.0717,0.0204,0.0295,0.0,0.0259,0.0164,0.0456,0.0167,0.0114,0.0124,0.0545,0.0315,0.0208,0.0471,0.00483,0.0199,0.0101,0.021,0.00888,0.0238,0.00533,0.0357,0.00867,0.0375,0.0186,0.00881
084N612,0.0298,0.353,1.23,0.186,0.911,196.68,3.0,22.9,175.42,0.15,0.536,0.055,0.456,19.3,0.0628,0.0446,0.00826,0.0152,0.0248,0.00743,0.00978,0.0124,0.0,0.0,0.00468,0.0313,0.0314,0.00926,0.0,0.00277,0.0114,0.00502,0.0171,0.00294,0.0136,0.0,0.0229,0.00287,0.0281,0.0107,0.00715
085N612,0.0522,0.367,1.24,0.164,0.901,193.81,3.12,22.66,178.46,0.146,0.628,0.0514,0.46,18.87,0.0677,0.0301,0.0,0.0109,0.0,0.0106,0.00836,0.0234,0.00687,0.00664,0.00474,0.0448,0.0,0.00766,0.0475,0.00281,0.02,0.00509,0.015,0.00298,0.0138,0.0,0.0208,0.0,0.0138,0.0,0.0081
086N612,0.041,0.419,1.28,0.16,0.911,202.14,3.32,23.61,182.25,0.154,0.722,0.0583,0.475,19.23,0.0707,0.0335,0.00862,0.0158,0.0149,0.0173,0.00942,0.0204,0.01,0.00967,0.00563,0.0,0.0189,0.0125,0.02,0.00646,0.0119,0.00524,0.0089,0.00307,0.0201,0.00319,0.0151,0.003,0.0159,0.00644,0.00645
