No.,element,peak_mm,net_cps,bg_minus,bg_plus,sd_pct,dl_ppm,flagged
45,Mn,146.243,3.2,1.9,1.5,14.56,261.0,False
45,Al,90.995,1066.1,14.4,9.4,0.69,156.0,False
45,P,197.118,18.6,3.1,3.2,6.03,158.0,False
45,Mg,107.534,622.0,45.3,0.0,0.93,184.0,False
45,Ca,107.121,2296.3,34.2,37.7,0.47,91.0,False
45,Ti,88.305,587.3,0.0,47.3,0.96,128.0,False
46,Na,129.476,287.9,0.0,19.3,1.93,166.0,False
46,S,171.948,3.0,5.3,4.5,21.86,107.0,False
46,Fe,134.739,166.5,2.7,3.7,1.77,419.0,False
46,Si,77.822,3347.8,30.7,19.6,0.39,225.0,False
46,Cl,151.478,10.6,9.0,9.4,9.27,48.0,False
46,F,199.14,1.5,3.3,2.7,34.42,356.0,True
46,K,119.485,206.2,28.1,21.6,1.42,58.0,False
46,Mn,146.243,1.5,1.8,2.7,30.04,309.0,False
46,Al,90.995,1069.5,17.5,9.2,0.69,166.0,False
46,P,197.118,19.2,3.0,3.2,5.9,157.0,False
46,Mg,107.534,644.9,41.7,0.0,0.91,177.0,False
46,Ca,107.121,2546.3,31.8,37.6,0.45,89.0,False
46,Ti,88.305,602.4,0.0,45.5,0.94,126.0,False
47,Na,129.476,295.8,0.0,20.0,1.9,169.0,False
47,S,171.948,1.9,6.3,5.4,34.61,117.0,True
47,Fe,134.739,160.2,3.3,3.5,1.81,424.0,False
47,Si,77.822,3341.4,32.9,17.7,0.39,227.0,False
47,Cl,151.478,12.4,8.2,7.2,7.77,44.0,False
47,F,199.14,0.8,3.7,2.7,60.7,369.0,True
47,K,119.485,74.2,25.1,21.9,2.72,56.0,False
47,Mn,146.243,2.6,1.7,1.8,17.6,270.0,False
47,Al,90.995,1089.5,14.4,10.4,0.69,159.0,False
47,P,197.118,16.2,3.3,3.5,6.67,165.0,False
47,Mg,107.534,648.6,41.1,0.0,0.91,176.0,False
47,Ca,107.121,2649.6,36.2,37.2,0.44,91.0,False
47,Ti,88.305,585.8,0.0,48.5,0.96,130.0,False
48,Na,129.476,275.0,0.0,18.0,1.97,160.0,False
48,S,171.948,3.6,5.4,4.9,18.99,110.0,False
48,Fe,134.739,164.8,2.8,2.8,1.77,382.0,False
48,Si,77.822,3339.2,27.0,18.9,0.39,214.0,False
