,Li7,B11,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Sc45,Ti47,V51,Mn55,Fe57,As75,Rb85,Sr88,Y89,Zr90,Nb93,Cs133,Ba138,La139,Ce140,Pr141,Nd146,Sm147,Eu151,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
018MC22-1-26,4320,950,24464126,15036377,47397340,6185056,478970,15193050,111103,27825,1097253,265448,1737581,1950662,1235,39442,1293821,40338,246514,113753,773,493259,105712,211664,29249,19266,2949,2970,2447,2170,2915,1991,1717,725,903,530,3791,9252,3581,8871,2539
019MC22-1-26B,4244,1007,24026602,15784272,46715304,6136813,481306,15200983,112375,28845,1088103,263515,1734417,1922958,1225,37776,1293350,40979,250529,113314,732,486295,104948,209711,29657,19314,2990,2888,2465,2256,2865,2007,1614,680,925,575,3790,9280,12540,9167,2355
020MC22-1-27,5551,1237,32783728,17839980,68540272,8338265,726143,22685660,144884,27438,1534035,327935,2400534,2598522,1825,67347,2239588,60446,383404,168188,1312,766771,146561,334854,51880,30848,4050,3975,3069,3350,4013,2800,2206,881,1368,700,4650,12193,24618,12800,3344
021MC22-2-1,1940,580,8397513,161153008,28257226,8839602,222582,10423297,65874,27205,591896,125063,2559559,3246560,520,10203,518116,21517,116102,36048,200,119514,25323,70122,12395,8862,1150,1000,810,1200,1270,750,520,220,610,270,1510,2090,42953,2310,750
022MC22-2-5,3158,733,26949170,23271498,62714288,7395147,549183,17895650,151787,42939,1660107,396736,1779282,2285059,1150,41622,1430250,43025,267170,142404,754,577797,130046,249660,33299,21433,2933,2871,2550,2475,2975,2125,1845,687,1054,583,4088,11063,3775,9870,2725
023MC22-2-8,2175,2925,11161101,79895280,31785110,7222530,440914,13668258,128432,30633,1123579,266149,2262461,3023753,1300,19588,959105,27075,181681,120981,337,305646,70411,141987,24584,17511,2375,2187,1437,1512,2150,1000,1175,400,712,275,2050,6589,123942,7189,2000
024KL2,2790,1097,13166874,20419204,39694196,6584082,207956,9278936,83306,26428,811350,259621,1343980,1928030,523,8151,358372,27524,88132,16271,191,123265,18362,42676,7095,5660,1262,1456,1343,1384,1983,1470,1292,512,658,412,1775,1509,1361,1006,574
025KL2,2972,1059,13108827,21554270,41826880,6971997,222151,9496203,91320,29461,866777,276225,1383445,1841567,497,8715,394157,30420,96253,17278,191,122096,18085,46254,7964,6155,1374,1686,1375,1421,2134,1559,1332,574,708,389,1686,1484,1366,1043,632
026KL2,2655,1023,12653551,19617878,37809068,6073552,190139,9001422,80526,26856,811258,266943,1363167,1833449,535,7997,356188,27507,86008,15910,220,116451,17309,41078,7055,5772,1290,1540,1352,1358,1951,1481,1217,463,679,386,1650,1456,1247,1008,619
027N612,22147,18083,89227448,39382,6997967,9748349,18114,6625268,123535,43859,3410,41843,52617,9300,22796,36520,107052,56019,28850,56571,75090,49675,58022,64176,76558,12444,10903,35666,10664,74004,16906,71339,24100,70441,16290,67096,19223,74471,30874,45929,52327
028BCR2G,4251,1548,17348398,9801280,39352880,6831502,249138,17035000,55397,29033,732148,362061,1634894,2054190,865,45046,336600,37531,105208,14051,1806,633966,31485,65396,9858,7270,1340,1503,1413,1512,2259,1865,1820,746,1147,690,1986,1179,7037,5739,1980
029MC22-2-9,2793,743,18998464,16817728,43056908,5808346,489259,16054800,97746,26915,1133697,281368,1434648,1819284,1116,33464,1016624,31188,191508,109339,606,415705,92095,184363,25788,17384,2515,2490,2001,1693,2215,1551,1241,475,723,368,3062,8482,2523,7083,2233
030MC22-2-23,2116,758,15096396,11910223,35777000,4857679,456958,12796934,86454,24492,931294,254133,1041616,1379521,990,27072,747780,24621,147148,76346,517,312223,60543,121876,16503,10717,1650,1771,1458,1348,1692,1275,1090,400,580,350,2484,6359,2221,5131,1601
031MC22-2-35,2589,1200,14027943,133965016,37468280,8430867,263472,11152681,80413,28173,880939,216800,3203626,4176504,1011,18078,667182,26615,132436,56132,316,265887,51043,106702,14841,10204,1561,1672,1511,1394,1666,1272,1166,450,627,283,2133,4889,40378,3745,938
032MC22-2-32,2111,744,15576305,24803570,40569164,5465081,316474,12620099,88482,22551,902127,219913,1357164,1770738,866,21138,779097,30311,152182,76112,444,281677,61149,123003,17745,12550,1944,1950,1583,1677,2100,1327,1111,566,622,500,1944,5956,1588,5273,1388
034MC22-2-30,2040,760,6310151,178701568,17423430,8807044,120785,9135193,42344,22156,359212,69611,3165357,3984624,680,9042,305390,12666,66668,25103,150,111166,20716,46705,6451,4760,800,750,610,700,810,590,520,140,310,160,970,1960,55128,1410,420
