No.,Mg,Mn,Fe,Si,Ca,Cr,Ni,Al,Total,Comment,material,is_std,sample,spot
64,56.3949,0.1763,10.1471,32.8348,0.3023,0.0055,0.1251,0.014,100.0,UnkA-C21MI_7_3,UnkA-C21MI_7,False,UnkA-C21MI_7,3.0
65,53.7995,0.228,12.6165,32.8844,0.3477,0.0038,0.1056,0.0145,100.0,UnkA-C21MI_8_1,UnkA-C21MI_8,False,UnkA-C21MI_8,1.0
66,53.2841,0.2388,12.9639,33.0883,0.315,0.0011,0.0933,0.0156,100.0,UnkA-C21MI_8_2,UnkA-C21MI_8,False,UnkA-C21MI_8,2.0
67,53.8235,0.2382,13.2017,32.2887,0.3531,0.0,0.0808,0.0138,100.0,UnkA-C21MI_8_3,UnkA-C21MI_8,False,UnkA-C21MI_8,3.0
68,52.5866,0.263,13.6581,33.1231,0.2838,0.0012,0.073,0.0112,100.0,UnkA-C21MI_9_1,UnkA-C21MI_9,False,UnkA-C21MI_9,1.0
69,53.1139,0.2612,13.6591,32.5801,0.2827,0.0014,0.0878,0.0139,100.0,UnkA-C21MI_9_2,UnkA-C21MI_9,False,UnkA-C21MI_9,2.0
70,52.6503,0.2678,13.6299,33.0557,0.2971,0.0027,0.0825,0.014,100.0,UnkA-C21MI_9_3,UnkA-C21MI_9,False,UnkA-C21MI_9,3.0
71,55.2883,0.2093,10.9741,33.0737,0.3079,0.0041,0.1289,0.0136,100.0,UnkA-C21MI_10_1,UnkA-C21MI_10,False,UnkA-C21MI_10,1.0
72,56.3989,0.1987,9.9423,32.9995,0.2865,0.0081,0.154,0.0119,100.0,UnkA-C21MI_10_2,UnkA-C21MI_10,False,UnkA-C21MI_10,2.0
73,55.3715,0.2073,10.9784,32.9789,0.3128,0.004,0.1339,0.0131,100.0,UnkA-C21MI_10_3,UnkA-C21MI_10,False,UnkA-C21MI_10,3.0
74,55.4268,0.2148,10.6432,33.228,0.3273,0.0084,0.1403,0.0113,100.0,UnkA-C21MI_11_1,UnkA-C21MI_11,False,UnkA-C21MI_11,1.0
75,55.2061,0.2053,10.9955,33.1159,0.3248,0.0051,0.1351,0.0122,100.0,UnkA-C21MI_11_2,UnkA-C21MI_11,False,UnkA-C21MI_11,2.0
76,55.3578,0.2116,10.7382,33.1988,0.341,0.0027,0.1401,0.0099,100.0,UnkA-C21MI_11_3,UnkA-C21MI_11,False,UnkA-C21MI_11,3.0
77,55.6254,0.2022,10.5193,33.1908,0.3072,0.0084,0.1372,0.0093,100.0,UnkA-C21MI_12_1,UnkA-C21MI_12,False,UnkA-C21MI_12,1.0
