No.,element,peak_mm,net_cps,bg_minus,bg_plus,sd_pct,dl_ppm,flagged
38,Ni,115.404,30.5,38.4,33.2,4.28,65.0,False
38,Al,90.986,17.2,81.7,64.9,11.94,24.0,False
39,Mg,107.54,61015.8,295.9,234.0,0.09,39.0,False
39,Mn,146.037,99.7,95.2,86.1,2.18,34.0,False
39,Fe,134.743,1897.5,0.0,21.1,0.52,101.0,False
39,Si,77.808,26184.6,188.1,110.7,0.14,59.0,False
39,Ca,107.775,698.4,278.5,240.0,0.65,14.0,False
39,Cr,159.16,9.8,72.9,68.9,23.01,51.0,False
39,Ni,115.404,29.6,38.4,34.2,4.41,66.0,False
39,Al,90.986,15.0,81.2,63.5,13.55,24.0,False
40,Mg,107.54,55146.6,302.1,236.2,0.1,39.0,False
40,Mn,146.037,150.5,97.8,86.1,1.58,35.0,False
40,Fe,134.743,2498.3,0.0,25.0,0.45,110.0,False
40,Si,77.808,25747.6,197.3,113.1,0.14,61.0,False
40,Ca,107.775,801.2,292.4,244.5,0.59,14.0,False
40,Cr,159.16,5.7,69.5,70.3,38.69,51.0,True
40,Ni,115.404,24.8,37.8,34.1,5.12,65.0,False
40,Al,90.986,18.4,83.0,63.2,11.19,24.0,False
41,Mg,107.54,54859.7,297.7,227.2,0.1,38.0,False
41,Mn,146.037,151.8,98.2,87.8,1.57,35.0,False
41,Fe,134.743,2526.7,0.0,22.8,0.45,105.0,False
41,Si,77.808,24959.1,182.9,112.2,0.14,59.0,False
41,Ca,107.775,828.6,294.0,244.8,0.58,14.0,False
41,Cr,159.16,1.0,73.3,72.1,225.78,52.0,True
41,Ni,115.404,23.0,38.2,35.2,5.52,66.0,False
41,Al,90.986,19.2,78.7,67.8,10.74,24.0,False
42,Mg,107.54,54657.7,302.7,224.6,0.1,39.0,False
42,Mn,146.037,150.8,99.6,85.6,1.58,35.0,False
42,Fe,134.743,2546.1,0.0,25.6,0.45,111.0,False
42,Si,77.808,24828.8,193.0,114.0,0.14,60.0,False
42,Ca,107.775,810.6,291.1,248.6,0.59,14.0,False
42,Cr,159.16,5.7,72.0,68.5,38.96,51.0,True
42,Ni,115.404,22.3,38.7,35.4,5.69,66.0,False
42,Al,90.986,16.8,88.6,66.4,12.58,25.0,False
43,Mg,107.54,54664.0,297.1,235.2,0.1,39.0,False
43,Mn,146.037,151.8,100.0,87.6,1.57,35.0,False
43,Fe,134.743,2540.2,0.0,26.1,0.45,112.0,False
43,Si,77.808,24899.2,191.9,110.1,0.14,60.0,False
43,Ca,107.775,811.3,294.6,251.7,0.59,14.0,False
43,Cr,159.16,5.7,70.7,65.9,37.93,50.0,True
43,Ni,115.404,23.3,38.0,34.0,5.42,65.0,False
43,Al,90.986,15.9,83.1,65.3,12.96,24.0,False
44,Mg,107.54,54514.2,299.6,234.1,0.1,39.0,False
44,Mn,146.037,153.9,96.1,87.6,1.55,34.0,False
44,Fe,134.743,2572.3,0.0,24.4,0.44,108.0,False
44,Si,77.808,25021.8,197.1,111.8,0.14,60.0,False
44,Ca,107.775,788.5,293.2,252.5,0.6,14.0,False
44,Cr,159.16,5.2,69.6,68.9,42.31,51.0,True
44,Ni,115.404,21.4,38.9,34.6,5.88,66.0,False
44,Al,90.986,13.8,84.5,66.8,14.94,24.0,False
45,Mg,107.54,53049.3,308.1,227.5,0.1,39.0,False
45,Mn,146.037,166.7,99.3,89.2,1.47,35.0,False
45,Fe,134.743,2706.2,0.0,26.6,0.43,113.0,False
45,Si,77.808,25662.8,202.7,120.9,0.14,62.0,False
45,Ca,107.775,842.1,291.0,251.5,0.57,14.0,False
45,Cr,159.16,-1.3,73.5,68.0,100.0,51.0,True
45,Ni,115.404,21.2,38.0,34.2,5.9,66.0,False
45,Al,90.986,13.6,84.3,70.7,15.32,25.0,False
46,Mg,107.54,58131.8,285.6,231.6,0.09,38.0,False
46,Mn,146.037,152.6,96.4,86.4,1.56,34.0,False
46,Fe,134.743,2152.8,0.0,23.1,0.48,105.0,False
46,Si,77.808,25130.7,190.4,104.1,0.14,59.0,False
46,Ca,107.775,676.4,280.9,235.0,0.66,14.0,False
46,Cr,159.16,5.9,71.9,70.2,37.54,51.0,True
46,Ni,115.404,35.4,39.8,34.5,3.82,67.0,False
46,Al,90.986,12.0,82.5,65.7,16.98,24.0,False
47,Mg,107.54,57278.1,295.8,234.5,0.09,39.0,False
