 
Mass percent  	      Group : bas-Glas      	  Sample : 201216_Fr       	 Page 	  1 	 
 
   No. 	   Na2O  	   SO3   	   FeO   	   SiO2  	   Cl    	   F     	   K2O   	   MnO   	   Al2O3 	   P2O5  	   MgO   	   CaO   	   TiO2  	  Total  	Comment  
   25  	  4.4900 	  0.0322 	 13.8300 	 45.8600 	  0.1214 	  0.1563 	  1.9900 	  0.3105 	 15.0900 	  0.7657 	  4.6100 	 10.0500 	  3.7400 	101.0461 	1982-CS2-L5B_8 
   26  	  4.7100 	  0.0384 	 14.0500 	 45.4300 	  0.1196 	  0.2583 	  1.9600 	  0.2305 	 14.4800 	  0.7312 	  4.6400 	  9.7100 	  3.8100 	100.1679 	1982-CS2-L5B_9 
   27  	  4.8200 	  0.0817 	 13.5200 	 44.9300 	  0.0678 	  0.0834 	  2.1300 	  0.2420 	 15.4800 	  1.0618 	  4.5400 	 10.5600 	  3.8000 	101.3166 	UnknA-C21_1 
   28  	  4.8200 	  0.1331 	 12.6200 	 44.5500 	  0.1357 	  0.1609 	  2.2000 	  0.2343 	 15.3500 	  1.0045 	  4.4100 	 10.5200 	  3.8000 	 99.9386 	UnknA-C21_2 
   29  	  4.8500 	  0.1102 	 12.2300 	 44.9200 	  0.1207 	  0.1130 	  2.1700 	  0.2203 	 15.3600 	  0.9747 	  4.1800 	 10.4800 	  3.7000 	 99.4289 	UnknA-C21_3 
   30  	  4.9000 	  0.1004 	 12.5800 	 44.7800 	  0.1388 	  0.1916 	  2.2400 	  0.2464 	 14.5900 	  0.9736 	  4.5200 	 10.5200 	  3.7900 	 99.5708 	UnknA-C21_4 
   31  	  4.7500 	  0.1001 	 12.2200 	 44.8500 	  0.1411 	  0.1347 	  2.1400 	  0.2396 	 14.7700 	  1.0415 	  4.3900 	 10.4500 	  3.8000 	 99.0271 	UnknA-C21_5 
   32  	  4.7700 	  2.1971 	 13.7700 	 44.0600 	  0.1293 	  0.2099 	  2.1400 	  0.2167 	 15.3200 	  0.9462 	  4.4400 	 10.2000 	  3.7800 	102.1791 	UnknA-C21_6 
   33  	  4.9000 	  0.1283 	 12.7400 	 43.8900 	  0.1269 	  0.2127 	  2.2200 	  0.2341 	 15.3600 	  0.9700 	  4.5000 	 10.4100 	  3.7900 	 99.4821 	UnknA-C21_7 
   34  	  4.9000 	  0.1267 	 12.8200 	 44.8700 	  0.1415 	  0.1362 	  2.2100 	  0.2469 	 15.4200 	  0.9765 	  4.4400 	 10.4600 	  3.7700 	100.5177 	UnknA-C21_8 
