group,oxide,n,mean,2SD,2RSD%,2SE
UnknA-C22-PS1-L2,K2O,9,1.2535333333333334,0.08116304577823613,6.474741725647726,0.027054348592745376
UnknA-C22-PS1-L2,P2O5,9,0.5365,0.0449401824651391,8.376548455757522,0.014980060821713034
UnknA-C22-PS1-L2,SO3,9,0.04296666666666667,0.02364466113100376,55.03024312879075,0.007881553710334588
UnknA-C22-PS1-L2,Cl,9,0.07832222222222222,0.0182660279693692,23.32164161218936,0.006088675989789734
UnknA-C22-PS1-L2,F,9,0.12843333333333332,0.0560740581730982,43.66005048515303,0.018691352724366065
UnknA-C22-PS1-L3,SiO2,7,47.597142857142856,0.6803640482089319,1.4294220353750298,0.2571534389357134
UnknA-C22-PS1-L3,TiO2,7,3.5342857142857147,0.1130528742710788,3.1987474531024715,0.04272997004604672
UnknA-C22-PS1-L3,Al2O3,7,15.384285714285713,0.3411465262624723,2.2174999385618968,0.12894126701772385
UnknA-C22-PS1-L3,FeO,7,11.812857142857142,1.3986524126560425,11.840085728131937,0.5286409220726253
UnknA-C22-PS1-L3,MnO,7,0.1865857142857143,0.09190781095361651,49.25768904948438,0.034737887332515344
UnknA-C22-PS1-L3,MgO,7,5.588571428571428,0.2222396818537955,3.976681423764235,0.08399870423360813
UnknA-C22-PS1-L3,CaO,7,12.018571428571429,1.138913433726994,9.476279610232922,0.43046881578175267
UnknA-C22-PS1-L3,Na2O,7,3.628571428571429,0.5183857728794355,14.286222087228538,0.1959314054618568
UnknA-C22-PS1-L3,K2O,7,0.9239428571428572,0.6450997117463609,69.82030401114055,0.2438247725886177
UnknA-C22-PS1-L3,P2O5,7,0.5140857142857143,0.09229542629126171,17.95331473458656,0.0348843921593387
UnknA-C22-PS1-L3,SO3,7,0.051071428571428566,0.02346705897940466,45.94948611351962,0.008869714580227136
UnknA-C22-PS1-L3,Cl,7,0.07527142857142856,0.01605188017469783,21.32532951658471,0.006067040431036928
UnknA-C22-PS1-L3,F,7,0.08765714285714286,0.0640750452873147,73.09734631864453,0.02421809072506227
UnknA-Flow1-1,SiO2,17,45.31,0.6370243323453169,1.4059243706583906,0.15450109460872413
UnknA-Flow1-1,TiO2,17,3.3294117647058825,0.08528498936955287,2.5615632849512346,0.02068464820296152
UnknA-Flow1-1,Al2O3,17,15.351176470588237,0.528955685901059,3.4457012914580227,0.12829059789653557
UnknA-Flow1-1,FeO,17,13.331176470588234,0.954643450533789,7.160984273518252,0.23153504596205413
UnknA-Flow1-1,MnO,17,0.2321529411764706,0.09336677989646688,40.217788938325064,0.022644770319819322
UnknA-Flow1-1,MgO,17,5.077647058823529,0.29406881947638563,5.7914387524311355,0.07132216493540176
UnknA-Flow1-1,CaO,17,11.594117647058823,0.8317769780274462,7.174129186436624,0.20173554925671885
UnknA-Flow1-1,Na2O,17,3.6947058823529413,0.3649053060082044,9.876437194936276,0.08850253647177421
UnknA-Flow1-1,K2O,17,1.801764705882353,0.1975139607872881,10.962250517087488,0.04790417193294668
UnknA-Flow1-1,P2O5,17,0.7241588235294119,0.10044956592299265,13.871206517020761,0.024362598255761356
UnknA-Flow1-1,SO3,17,0.04125294117647059,0.025076295345112163,60.78668485197587,0.0060818949651224655
UnknA-Flow1-1,Cl,17,0.15211764705882352,0.027475828949652968,18.06222320742848,0.006663867347695454
UnknA-Flow1-1,F,17,0.058800000000000005,0.06735061246937551,114.54185794111481,0.016334922891839833
UnknA-Flow1-2,SiO2,8,45.24,0.6235382907248016,1.3782897672962016,0.22045407685048807
UnknA-Flow1-2,TiO2,8,3.3025,0.10127755357009205,3.0666935221829537,0.03580702245569796
UnknA-Flow1-2,Al2O3,8,15.4575,0.3494894235064292,2.260969907853335,0.12356317065718662
UnknA-Flow1-2,FeO,8,13.4175,0.6663975647357324,4.966629884372889,0.23560711849541882
UnknA-Flow1-2,MnO,8,0.23625000000000002,0.05759652767311584,24.379482612959084,0.020363447645229425
UnknA-Flow1-2,MgO,8,5.0975,0.2508841508402969,4.921709678083314,0.0887009421757013
UnknA-Flow1-2,CaO,8,11.63625,0.46141861997230016,3.9653549895567743,0.16313611757407598
UnknA-Flow1-2,Na2O,8,3.82625,0.25655687200195687,6.705177968035462,0.09070655197629639
UnknA-Flow1-2,K2O,8,1.79375,0.12418304462135142,6.923096564256525,0.0439053364800746
UnknA-Flow1-2,P2O5,8,0.7283375,0.07969183055459858,10.94160750402095,0.028175316895162977
UnknA-Flow1-2,SO3,8,0.041275,0.014409818081532366,34.91173369238611,0.005094640040558031
UnknA-Flow1-2,Cl,8,0.1442375,0.0830779969151193,57.59805661850719,0.029372507493037964
UnknA-Flow1-2,F,8,0.076825,0.09846622336038456,128.16950648927374,0.034813067127978575
