No.,Na2O,SO3,FeO,SiO2,Cl,F,K2O,MnO,Al2O3,P2O5,MgO,CaO,TiO2,Total,Comment,material,is_std,sample,spot,datetime,curr_A,minutes,bracket,batch,fail_total,fail_crystal,fail_qtest,keep,group
83,4.03,0.0484,13.67,45.05,0.1473,0.0582,1.7,0.2172,15.79,0.7446,4.94,11.7,3.31,101.4056,UnknA-Flow1-2_4,UnknA-Flow1-2,False,UnknA-Flow1-2,4.0,2016-12-20 21:02:00,1.009e-08,284.0,,2.0,False,False,False,True,UnknA-Flow1-2
84,3.9,0.0409,13.97,44.73,0.1726,0.153,1.8,0.2518,15.46,0.7339,5.18,11.33,3.31,101.0322,UnknA-Flow1-2_5,UnknA-Flow1-2,False,UnknA-Flow1-2,5.0,2016-12-20 21:06:00,1.009e-08,288.0,,2.0,False,False,False,True,UnknA-Flow1-2
85,3.86,0.0424,13.35,45.63,0.1697,0.1186,1.82,0.2263,15.62,0.7986,5.09,11.46,3.3,101.4855,UnknA-Flow1-2_6,UnknA-Flow1-2,False,UnknA-Flow1-2,6.0,2016-12-20 21:09:00,1.009e-08,291.0,,2.0,False,False,False,True,UnknA-Flow1-2
86,3.71,0.0305,13.89,46.14,0.1587,0.1813,1.85,0.2475,15.44,0.7223,4.98,11.56,3.29,102.2002,UnknA-Flow1-2_7,UnknA-Flow1-2,False,UnknA-Flow1-2,7.0,2016-12-20 21:13:00,1.009e-08,295.0,,2.0,True,False,False,False,UnknA-Flow1-2
87,3.86,0.0449,13.66,45.1,0.1752,0.0784,1.8,0.2605,15.46,0.6709,4.95,11.59,3.25,100.8998,UnknA-Flow1-2_8,UnknA-Flow1-2,False,UnknA-Flow1-2,8.0,2016-12-20 21:16:00,1.009e-08,298.0,,2.0,False,False,False,True,UnknA-Flow1-2
88,3.71,0.0301,13.43,45.59,0.1602,0.1042,1.79,0.2762,15.36,0.709,5.04,11.78,3.39,101.3696,UnknA-Flow1-2_9,UnknA-Flow1-2,False,UnknA-Flow1-2,9.0,2016-12-20 21:20:00,1.009e-08,302.0,,2.0,False,False,False,True,UnknA-Flow1-2
89,3.86,0.0301,13.63,45.43,0.1489,0.0567,1.8,0.3318,15.44,0.6522,5.15,11.43,3.32,101.2797,UnknA-Flow1-1_1,UnknA-Flow1-1,False,UnknA-Flow1-1,1.0,2016-12-20 21:23:00,1.009e-08,305.0,,2.0,False,False,False,True,UnknA-Flow1-1
90,3.56,0.0442,14.16,45.59,0.1449,0.1222,1.89,0.2227,15.51,0.7192,4.98,11.26,3.26,101.4632,UnknA-Flow1-1_2,UnknA-Flow1-1,False,UnknA-Flow1-1,2.0,2016-12-20 21:27:00,1.009e-08,309.0,,2.0,False,False,False,True,UnknA-Flow1-1
91,3.81,0.0416,12.77,45.25,0.137,0.1067,1.69,0.2895,15.43,0.8026,5.0,12.09,3.28,100.6973,UnknA-Flow1-1_3,UnknA-Flow1-1,False,UnknA-Flow1-1,3.0,2016-12-20 21:30:00,1.01e-08,312.0,,2.0,False,False,False,True,UnknA-Flow1-1
92,3.9,0.0265,13.35,45.04,0.1435,0.0424,1.92,0.2087,15.29,0.7066,4.93,11.21,3.33,100.0976,UnknA-Flow1-1_4,UnknA-Flow1-1,False,UnknA-Flow1-1,4.0,2016-12-20 21:33:00,1.01e-08,315.0,,2.0,False,False,False,True,UnknA-Flow1-1
93,3.92,0.0326,12.51,45.78,0.1641,0.0634,1.94,0.2444,15.25,0.716,4.99,11.51,3.35,100.4705,UnknA-Flow1-1_5,UnknA-Flow1-1,False,UnknA-Flow1-1,5.0,2016-12-20 21:37:00,1.009e-08,319.0,,2.0,False,False,False,True,UnknA-Flow1-1
94,3.8,0.0618,13.94,45.46,0.1697,0.0335,2.02,0.2758,15.49,0.8109,4.78,10.59,3.3,100.7317,UnknA-Flow1-1_6,UnknA-Flow1-1,False,UnknA-Flow1-1,6.0,2016-12-20 21:40:00,1.01e-08,322.0,,2.0,False,False,False,True,UnknA-Flow1-1
95,3.56,0.061,13.55,45.3,0.1409,0.0354,1.75,0.2915,15.37,0.7245,5.02,11.64,3.3,100.7432,UnknA-Flow1-1_7,UnknA-Flow1-1,False,UnknA-Flow1-1,7.0,2016-12-20 21:44:00,1.01e-08,326.0,,2.0,False,False,False,True,UnknA-Flow1-1
96,3.74,0.0552,13.21,44.45,0.183,0.0,1.83,0.1635,14.58,0.6888,5.19,11.23,3.36,98.6805,UnknA-Flow1-1_8,UnknA-Flow1-1,False,UnknA-Flow1-1,8.0,2016-12-20 21:47:00,1.01e-08,329.0,,2.0,False,False,False,True,UnknA-Flow1-1
97,3.41,0.058,13.54,44.84,0.1367,0.0438,1.76,0.1875,14.96,0.6826,5.17,11.74,3.34,99.8686,UnknA-Flow1-1_9,UnknA-Flow1-1,False,UnknA-Flow1-1,9.0,2016-12-20 21:51:00,1.01e-08,333.0,,2.0,False,False,False,True,UnknA-Flow1-1
